page,href,text,status,contentType,contentLength
"/os","http://127.0.0.1:4173/assets/pdfs/Dual-Layer%20Intelligence%20for%20Eagle%20StarXJB%C2%B3Ai-compressed.pdf","Dual-Layer Intelligence: Eagle Star X JB³Ai","200","application/pdf","1449375"
"/os","http://127.0.0.1:4173/assets/pdfs/JB%C2%B3Ai%20Forensic%20Intelligence%20Systems%20OverviewV2-compressed.pdf","JB³Ai Forensic Intelligence Systems Overview","200","application/pdf","13421984"
"/os","http://127.0.0.1:4173/assets/pdfs/OS%C2%B3%20InvestigatorAi%20CUTSHEET.pdf","OS³ InvestigatorAi Cutsheet","200","application/pdf","6797440"
"/os","http://127.0.0.1:4173/assets/pdfs/OS%C2%B3%20NewsRoomAi%20CUTSHEET.pdf","OS³ NewsRoomAi Cutsheet","200","application/pdf","6157660"
"/os","http://127.0.0.1:4173/assets/pdfs/OS%C2%B3%20ClipboardAi%20CUTSHEET.pdf","OS³ ClipboardAi Cutsheet","200","application/pdf","7634991"
"/os","http://127.0.0.1:4173/assets/pdfs/Jonathan_Blackburn_Premium_Resume.pdf","Jonathan Blackburn: Executive Resume","200","application/pdf","147077"
"/os","http://127.0.0.1:4173/assets/pdfs/The%20Bridge%20of%20Voices_%20The%20Story%20of%20Isikolo%20AI.pdf","The Bridge of Voices: The Story of Isikolo AI","200","text/html","4769"
"/os","http://127.0.0.1:4173/assets/pdfs/Global%20Satellite%20Overlay%20The%20Sentinel%20Eye-compressed.pdf","Download PDF","200","application/pdf","18828781"
"/os","http://127.0.0.1:4173/assets/pdfs/JB%C2%B3Ai%20Investment%20Deck%20Intelligence%20in%20Motion-compressed.pdf","Download PDF","200","text/html","4769"
"/os","http://127.0.0.1:4173/assets/pdfs/GTR3_Publishing%20sneak%20peek.pdf","Download PDF","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/The%20DUKEBOX%20Cutsheet.pdf","Download Cutsheet","200","application/pdf","7636304"
"/","http://127.0.0.1:4173/assets/pdfs/Cyber-Noir%20Music%20Console%20Magazine%20Cover.pdf","Download Brochure","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/OS%C2%B3%20IsikuloAi%20CUTSHEET.pdf","Download Cutsheet","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/IsikoloAiforlearners.pdf","Download Brochure","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/OS%C2%B3%20ClipboardAi%20CUTSHEET.pdf","Download Cutsheet","200","application/pdf","7634991"
"/","http://127.0.0.1:4173/assets/pdfs/JB%C2%B3%20OS%C2%B3%20Dash%20The%20Operating%20System-compressed.pdf","Download Brochure","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/OS%C2%B3%20VoiceGridAi%20Telephone%20CUTSHEET.pdf","Download Cutsheet","200","application/pdf","6408374"
"/","http://127.0.0.1:4173/assets/pdfs/jb3ai-os3-voice-grid.pdf","Download Brochure","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/JB3Ai_Super_Agent_Operating_System_V5.pdf","Download Cutsheet","200","application/pdf","1787995"
"/","http://127.0.0.1:4173/assets/pdfs/JB3Ai_Super_Agent_DASH.pdf","Download Brochure","200","application/pdf","914074"
"/","http://127.0.0.1:4173/assets/pdfs/jb3ai-investigatorai-app-dash-v1.pdf","Download Brochure","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/Global%20Satellite%20Overlay%20The%20Sentinel%20Eye-compressed.pdf","Download Cutsheet","200","application/pdf","18828781"
"/","http://127.0.0.1:4173/assets/pdfs/jb3ai-consulting-and-accelerator-compressed.pdf","Download JB³ Consulting Brief","200","application/pdf","10661281"
"/","http://127.0.0.1:4173/assets/pdfs/The%20Bridge%20of%20Voices_%20The%20Story%20of%20Isikolo%20AI.pdf","The Bridge of Voices: The Isikulo AI Story","200","text/html","4769"
"/","http://127.0.0.1:4173/assets/pdfs/Jonathan_Blackburn_Premium_Resume.pdf","View Document","200","application/pdf","147077"
"/","http://127.0.0.1:4173/assets/pdfs/Jewish_Achiever_finalist.pdf","View Document","200","application/pdf","165698"
"/","http://127.0.0.1:4173/assets/pdfs/Ess%20DNA%20Seq__Attendance%20Certificates__Nov%202021_Jonathan%20Blackburn.pdf","View Document","200","application/pdf","72907"
"/","http://127.0.0.1:4173/assets/pdfs/ISO9001_Internal%20Audit.pdf","View Document","200","application/pdf","180424"
"/","http://127.0.0.1:4173/assets/pdfs/Jonathan_LinkedIn_Recommendations.pdf","View Document","200","application/pdf","446916"
