"file","url","ok","status","contentType","contentLength"
"AD_ISIKOLOAI - ADVERT SPONCERSHIP F1.pdf","https://www.jonoblackburn.com/assets/pdfs/AD_ISIKOLOAI%20-%20ADVERT%20SPONCERSHIP%20F1.pdf","True","200","application/pdf","7814684"
"CHECK OS³ Core Platform BriefingsF1OPEN.pdf","https://www.jonoblackburn.com/assets/pdfs/CHECK%20OS%C2%B3%20Core%20Platform%20BriefingsF1OPEN.pdf","True","200","application/pdf","16364576"
"CHECK OS³ INVESTIGATORAI OPEN.pdf","https://www.jonoblackburn.com/assets/pdfs/CHECK%20OS%C2%B3%20INVESTIGATORAI%20OPEN.pdf","True","200","application/pdf","6883203"
"Cyber-Noir Music Console Magazine-combined.pdf","https://www.jonoblackburn.com/assets/pdfs/Cyber-Noir%20Music%20Console%20Magazine-combined.pdf","True","200","application/pdf","6600394"
"Dual-Layer Intelligencetar×JBF1.pdf","https://www.jonoblackburn.com/assets/pdfs/Dual-Layer%20Intelligencetar%C3%97JBF1.pdf","True","200","application/pdf","16715882"
"FINAL V2 JB³Ai Forensic Intelligence Systems Overview F1.pdf","https://www.jonoblackburn.com/assets/pdfs/FINAL%20V2%20JB%C2%B3Ai%20Forensic%20Intelligence%20Systems%20Overview%20F1.pdf","True","200","application/pdf","13421984"
"Global Satellite Overlay The Sentinel EyeF1.pdf","https://www.jonoblackburn.com/assets/pdfs/Global%20Satellite%20Overlay%20The%20Sentinel%20EyeF1.pdf","True","200","application/pdf","18828781"
"IsikoloAi for learnersF1.pdf","https://www.jonoblackburn.com/assets/pdfs/IsikoloAi%20for%20learnersF1.pdf","True","200","application/pdf","20488574"
"ISIKOLOAI_DRAFT1.mp4","https://www.jonoblackburn.com/assets/pdfs/ISIKOLOAI_DRAFT1.mp4","True","200","video/mp4","102951440"
"JB3_Business_Intelligence_Reports_Catalogue_2026_v2_F1.pdf","https://www.jonoblackburn.com/assets/pdfs/JB3_Business_Intelligence_Reports_Catalogue_2026_v2_F1.pdf","True","200","application/pdf","1500454"
"JB3_Consulting & Accelerator_F1.pdf","https://www.jonoblackburn.com/assets/pdfs/JB3_Consulting%20%26%20Accelerator_F1.pdf","True","200","application/pdf","10661281"
"JB3Ai_Super_Agent_Operating_System_V5.pdf","https://www.jonoblackburn.com/assets/pdfs/JB3Ai_Super_Agent_Operating_System_V5.pdf","True","200","application/pdf","1787995"
"JB3InvestigatorAi VER1 Dash.pdf","https://www.jonoblackburn.com/assets/pdfs/JB3InvestigatorAi%20VER1%20Dash.pdf","True","200","application/pdf","9359814"
"JB3InvestigatorAi VER2 DashF1.pdf","https://www.jonoblackburn.com/assets/pdfs/JB3InvestigatorAi%20VER2%20DashF1.pdf","True","200","application/pdf","9359814"
"JBInvestment Intelligence in MotionV2_F!.pdf","https://www.jonoblackburn.com/assets/pdfs/JBInvestment%20Intelligence%20in%20MotionV2_F!.pdf","True","200","application/pdf","16745939"
"JBInvestment Intelligence in MotionV2_F1.pdf","https://www.jonoblackburn.com/assets/pdfs/JBInvestment%20Intelligence%20in%20MotionV2_F1.pdf","True","200","application/pdf","16745939"
"JB³ OS³ Dash The Operating SystemF1.pdf","https://www.jonoblackburn.com/assets/pdfs/JB%C2%B3%20OS%C2%B3%20Dash%20The%20Operating%20SystemF1.pdf","True","200","application/pdf","9640288"
"Jonathan_Blackburn_Premium_Resume.pdf","https://www.jonoblackburn.com/assets/pdfs/Jonathan_Blackburn_Premium_Resume.pdf","True","200","application/pdf","147077"
"OS³ CLIPBOARDAI.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20CLIPBOARDAI.pdf","True","200","application/pdf","7634991"
"OS³ Core Platform Briefings WEB F1.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20Core%20Platform%20Briefings%20WEB%20F1.pdf","True","200","application/pdf","16370961"
"OS³ DUKEBOX LONDON CUTSHEET.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20DUKEBOX%20LONDON%20CUTSHEET.pdf","True","200","application/pdf","7636304"
"OS³ INVESTIGATOR_CUTSHEET_WEB.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20INVESTIGATOR_CUTSHEET_WEB.pdf","True","200","application/pdf","6797440"
"OS³ ISIKOLOAI CUTSHEET.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20ISIKOLOAI%20CUTSHEET.pdf","True","200","application/pdf","7400171"
"OS³ NEWSROOMAI CUTSHEET.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20NEWSROOMAI%20CUTSHEET.pdf","True","200","application/pdf","6157660"
"OS³ VER1 Voice Grid_F1.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20VER1%20Voice%20Grid_F1.pdf","True","200","application/pdf","7293906"
"OS³ VOICEGRID CUTSHEET.pdf","https://www.jonoblackburn.com/assets/pdfs/OS%C2%B3%20VOICEGRID%20CUTSHEET.pdf","True","200","application/pdf","6408374"
"Sovereign VOICEGRID V2 Infrastructure ManualF1.pdf","https://www.jonoblackburn.com/assets/pdfs/Sovereign%20VOICEGRID%20V2%20Infrastructure%20ManualF1.pdf","True","200","application/pdf","16681124"
"The Bridge of Voices_ The Story of Isikolo AI.pdf","https://www.jonoblackburn.com/assets/pdfs/The%20Bridge%20of%20Voices_%20The%20Story%20of%20Isikolo%20AI.pdf","True","200","application/pdf","8779374"
